"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @passantino: Apple explains why the iPhone X face unlock demo failed on stage  ","2017-09-14 12:16:57","TRUE","66","0","-1","Apple Iphone","Los Angeles","USA",FALSE
"2","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 12:15:21","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",FALSE
"3","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 12:14:35","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",FALSE
"4","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 12:13:52","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"5","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 12:13:15","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"6","RT @passantino: Apple explains why the iPhone X face unlock demo failed on stage  ","2017-09-14 12:13:13","TRUE","66","0","-1","Apple Iphone","Los Angeles","USA",TRUE
"7","So curious for what the next Apple event has in store, and the UX design we can expect to see! @etherington  ","2017-09-14 12:11:12","FALSE","0","1","0","Apple Iphone","Los Angeles","USA",FALSE
"8","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 12:10:54","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"9","RT @JayWalkr: my phone is suddenly slow af right before the new iphone gets announced.  apple thinks they're slick.

and they are. im getti","2017-09-14 12:09:28","TRUE","62","0","0","Apple Iphone","Los Angeles","USA",FALSE
"10","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 12:07:48","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"11","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 12:05:27","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"12","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 12:05:06","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"13","RT @passantino: Apple explains why the iPhone X face unlock demo failed on stage  ","2017-09-14 12:02:48","TRUE","66","0","-1","Apple Iphone","Los Angeles","USA",TRUE
"14","RT @YogaArmy: Can Apple's iPhone X Beat Facial Recognition's Bias Problem?  ","2017-09-14 12:01:06","TRUE","6","0","-2","Apple Iphone","Los Angeles","USA",FALSE
"15","RT @YogaArmy: Can Apple's iPhone X Beat Facial Recognition's Bias Problem?  ","2017-09-14 12:00:58","TRUE","6","0","-2","Apple Iphone","Los Angeles","USA",TRUE
"16","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 12:00:49","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"17","RT @YogaArmy: Can Apple's iPhone X Beat Facial Recognition's Bias Problem?  ","2017-09-14 12:00:16","TRUE","6","0","-2","Apple Iphone","Los Angeles","USA",TRUE
"18","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 12:00:10","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"19","RT @TMZ: Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-14 11:59:43","TRUE","33","0","0","Apple Iphone","Los Angeles","USA",FALSE
"20","RT @tunguz: The new iPhone 8 has a custom GPU designed by Apple with its new A11 Bionicchip  ","2017-09-14 11:58:00","TRUE","1","0","0","Apple Iphone","Los Angeles","USA",FALSE
"21","Apples iPhone X Will Likely Define The Smartphones Ahead, But it Shouldnt  ","2017-09-14 11:55:46","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"22","RT @YogaArmy: Can Apple's iPhone X Beat Facial Recognition's Bias Problem?  ","2017-09-14 11:55:27","TRUE","6","0","-2","Apple Iphone","Los Angeles","USA",TRUE
"23","Apple explains what went wrong with Face ID at the iPhone X event - Mashable  ","2017-09-14 11:54:17","FALSE","0","0","-1","Apple Iphone","Los Angeles","USA",FALSE
"24","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:53:25","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"25","Investors Should Love Apple, Inc.'s $999 iPhone X  ","2017-09-14 11:53:10","FALSE","0","0","1","Apple Iphone","Los Angeles","USA",FALSE
"26","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 11:52:56","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"27","RT @YogaArmy: Can Apple's iPhone X Beat Facial Recognition's Bias Problem?  ","2017-09-14 11:51:01","TRUE","6","0","-2","Apple Iphone","Los Angeles","USA",TRUE
"28","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 11:49:29","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
