"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @guardian: New iPhones: why is Apple's pricing the same in pounds and dollars?  ","2017-09-14 11:42:43","TRUE","91","0","0","Apple IPhone","London","UK",FALSE
"2","iOS 11 makes it tougher than ever for cops to grab your data  ","2017-09-14 11:42:10","FALSE","0","0","1","Apple IPhone","London","UK",FALSE
"3","Apple announces iPhone X with Face ID technology  ","2017-09-14 11:42:02","FALSE","0","0","0","Apple IPhone","London","UK",FALSE
"4","RT @guardian: New iPhones: why is Apple's pricing the same in pounds and dollars?  ","2017-09-14 11:41:41","TRUE","91","0","0","Apple IPhone","London","UK",TRUE
"5","RT @guardian: New iPhones: why is Apple's pricing the same in pounds and dollars?  ","2017-09-14 11:41:32","TRUE","91","0","0","Apple IPhone","London","UK",TRUE
"6","RT @jacksmillie: iPhone X USA price: $999
iPhone X UK price: 999
$999 = 752
Why are Apple charging Brits 247 more than the exchange valu","2017-09-14 11:41:31","TRUE","1312","0","0","Apple IPhone","London","UK",FALSE
"7","The results from our poll are in Read our weigh in on the iPhone X vs Galaxy S8 debate ","2017-09-14 11:41:11","FALSE","0","0","0","Apple IPhone","London","UK",FALSE
"8","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 11:41:09","TRUE","3590","0","2","Apple IPhone","London","UK",FALSE
"9","RT @jacksmillie: iPhone X USA price: $999
iPhone X UK price: 999
$999 = 752
Why are Apple charging Brits 247 more than the exchange valu","2017-09-14 11:41:02","TRUE","1312","0","0","Apple IPhone","London","UK",TRUE
"10","RT @needleholeshop: Apple announced an iPhone 8 and iPhone X  here are the most important differences  ","2017-09-14 11:40:53","TRUE","32","0","1","Apple IPhone","London","UK",FALSE
"11","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 11:40:14","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"12","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 11:40:11","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"13","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 11:40:04","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"14","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 11:39:53","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"15","RT @guardian: New iPhones: why is Apple's pricing the same in pounds and dollars?  ","2017-09-14 11:39:20","TRUE","91","0","0","Apple IPhone","London","UK",TRUE
"16","Apple raises all iPhone repair and replacement prices  ","2017-09-14 11:39:04","FALSE","0","0","0","Apple IPhone","London","UK",FALSE
"17","@guardian @alexhern why is @Apple pricing the same in /$? Could you + US tax in price? Is @Apple tourism worth it?   ","2017-09-14 11:38:37","FALSE","0","0","1","Apple IPhone","London","UK",FALSE
"18","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 11:38:34","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"19","RT @guardian: New iPhones: why is Apple's pricing the same in pounds and dollars?  ","2017-09-14 11:38:08","TRUE","91","0","0","Apple IPhone","London","UK",TRUE
