"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Apple Unveils Official Folio Cover For The iPhone X via Ubergizmo - The iPhone X was officially ...  ","2017-09-14 11:36:34","FALSE","0","0","0","Apple IPhone","New York","USA",FALSE
"2","RT @businessinsider: From the Apple Watch Series 3 to the iPhone X, here are all the new products Apple announced  ","2017-09-14 11:36:27","TRUE","40","0","0","Apple IPhone","New York","USA",FALSE
"3","RT @theSirToasty: Apple: We're skipping iPhone 9 and going straight to 10.

Nintendo: Mario Party ONE HUNDRED.  ","2017-09-14 11:36:14","TRUE","334","0","0","Apple IPhone","New York","USA",FALSE
"4","RT @theSirToasty: Apple: We're skipping iPhone 9 and going straight to 10.

Nintendo: Mario Party ONE HUNDRED.  ","2017-09-14 11:36:13","TRUE","334","0","0","Apple IPhone","New York","USA",TRUE
"5","RT @WSJ: Apple really, really needs its new iPhone to be a hit in China 
 ","2017-09-14 11:36:09","TRUE","18","0","0","Apple IPhone","New York","USA",FALSE
"6","RT @WIRED: We tried out Apple's phone of the future: the iPhone X. Here's what it's like:  ","2017-09-14 11:36:08","TRUE","205","0","1","Apple IPhone","New York","USA",FALSE
"7","RT @verge: Why Face ID wont give you the legal protection of a passcode  ","2017-09-14 11:35:35","TRUE","86","0","1","Apple IPhone","New York","USA",FALSE
"8","RT @businessinsider: Apple unveiled the 'iPhone X'  here are the best features of the $999 phone  ","2017-09-14 11:35:34","TRUE","375","0","1","Apple IPhone","New York","USA",FALSE
"9","RT @verge: 5 things Android phones did before Apple's iPhone X  ","2017-09-14 11:34:26","TRUE","589","0","0","Apple IPhone","New York","USA",FALSE
"10","RT @theSirToasty: Apple: We're skipping iPhone 9 and going straight to 10.

Nintendo: Mario Party ONE HUNDRED.  ","2017-09-14 11:33:54","TRUE","334","0","0","Apple IPhone","New York","USA",TRUE
"11","RT @businessinsider: Apple announced an iPhone 8 and iPhone X  here are the most important differences  ","2017-09-14 11:33:40","TRUE","49","0","1","Apple IPhone","New York","USA",FALSE
"12",".@Apple How many memes and pictures of local people can the iPhone X store?","2017-09-14 11:33:35","FALSE","0","0","0","Apple IPhone","New York","USA",FALSE
"13","RT @verge: 5 things Android phones did before Apple's iPhone X  ","2017-09-14 11:33:16","TRUE","589","0","0","Apple IPhone","New York","USA",TRUE
"14","RT @WSJ: Apple Watch Series 3, priced at $399, can now connect directly to cellular networks
 ","2017-09-14 11:32:59","TRUE","52","0","0","Apple IPhone","New York","USA",FALSE
"15","RT @verge: The iPhone X is designed for a generation of selfie takers  ","2017-09-14 11:32:13","TRUE","27","0","0","Apple IPhone","New York","USA",FALSE
"16","RT @theSirToasty: Apple: We're skipping iPhone 9 and going straight to 10.

Nintendo: Mario Party ONE HUNDRED.  ","2017-09-14 11:31:36","TRUE","334","0","0","Apple IPhone","New York","USA",TRUE
"17","RT @WSJ: Apple really, really needs its new iPhone to be a hit in China 
 ","2017-09-14 11:31:23","TRUE","18","0","0","Apple IPhone","New York","USA",TRUE
"18","RT @verge: 5 things Android phones did before Apple's iPhone X  ","2017-09-14 11:30:16","TRUE","589","0","0","Apple IPhone","New York","USA",TRUE
"19","""New Apple iPhone Model Introductions Present Significant Supply Chain Challenges"" supplychain   ","2017-09-14 11:30:02","FALSE","0","0","1","Apple IPhone","New York","USA",FALSE
"20","@Apple Parents have been SPAM talking to me about the iPhone X, holy you guys have made a lot of progress. KeepUpTheGoodWork","2017-09-14 11:29:38","FALSE","0","0","2","Apple IPhone","New York","USA",FALSE
"21","RT @theSirToasty: Apple: We're skipping iPhone 9 and going straight to 10.

Nintendo: Mario Party ONE HUNDRED.  ","2017-09-14 11:29:28","TRUE","334","0","0","Apple IPhone","New York","USA",TRUE
"22","RT @BGR: Apple explained what caused the Face ID failure during the iPhone X demo  ","2017-09-14 11:29:28","TRUE","8","0","-1","Apple IPhone","New York","USA",FALSE
"23","2 awesome users just followed me. Via @FindUnfollower  ","2017-09-14 11:29:24","FALSE","0","0","1","Apple IPhone","New York","USA",FALSE
