"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 12:01:35","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",FALSE
"2","Apple: Face ID didnt fail during the iPhone X demo - The hottest new tech of the iPhone X, Face ID, was also t...  ","2017-09-14 12:01:20","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"3","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 12:00:42","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"4","AR is going mainstream thanks to @Apple 
 ","2017-09-14 12:00:04","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"5","RT @esourcepartsca: Guaranteed genuine Apple iPhone accessories provider  ","2017-09-14 11:58:36","TRUE","9","0","1","Apple Iphone","Toronto","Canada",FALSE
"6","Does Apple Face ID Make It Easier For Feds To Hack The iPhone X? Yes And No via @forbes  ","2017-09-14 11:57:51","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"7","Five technologies that will get a boost from Apple iPhone X - The Indian Express -   ","2017-09-14 11:57:32","FALSE","0","0","1","Apple Iphone","Toronto","Canada",FALSE
"8","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 11:49:34","TRUE","472","0","0","Apple Iphone","Toronto","Canada",FALSE
"9","Apple iPhone X event in 3 minutes:  ","2017-09-14 11:47:34","FALSE","0","1","0","Apple Iphone","Toronto","Canada",FALSE
"10","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:44:24","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"11","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:37:58","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"12","I liked a @YouTube video  ","2017-09-14 11:35:56","FALSE","0","0","1","Apple Iphone","Toronto","Canada",FALSE
"13","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:33:31","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"14","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:23:03","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"15","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:15:40","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"16","Reminder: Preorders for iPhone 8 and iPhone 8 Plus start tonight!  ","2017-09-14 11:10:45","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"17","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:06:16","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"18","54 Cute iPhone Cases that make fun of the Apple logo  ","2017-09-14 11:05:03","FALSE","0","0","2","Apple Iphone","Toronto","Canada",FALSE
"19","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 11:02:51","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"20","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 11:00:51","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"21","Different screen, same size, wireless charging, facial recognition. What else could we be talking about but iPhone8? ","2017-09-14 11:00:50","FALSE","0","1","0","Apple Iphone","Toronto","Canada",FALSE
"22","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:59:02","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"23","Yeah sure and I have some stuff I can sell cheap. Apple Says Face ID Didn't Fail Onstage During iPhone X Keynote  ","2017-09-14 10:58:11","FALSE","0","0","-2","Apple Iphone","Toronto","Canada",FALSE
"24","Five technologies that will get a boost from Apple iPhone X - The Indian Express -   ","2017-09-14 10:56:40","FALSE","0","0","1","Apple Iphone","Toronto","Canada",TRUE
"25","Five technologies that will get a boost from Apple iPhone X - The Indian Express -   ","2017-09-14 10:56:40","FALSE","0","0","1","Apple Iphone","Toronto","Canada",TRUE
"26","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:49:52","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"27","RT @esourcepartsca: Guaranteed genuine Apple iPhone accessories provider  ","2017-09-14 10:49:01","TRUE","9","0","1","Apple Iphone","Toronto","Canada",TRUE
"28","With Apple's new AR enabled iPhone features, marketing is about to transform.

AR marketing brand iPhoneX  ","2017-09-14 10:46:23","FALSE","0","1","0","Apple Iphone","Toronto","Canada",FALSE
"29","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:46:11","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"30","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 10:44:31","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"31","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 10:42:25","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"32","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:41:30","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"33","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:39:18","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"34","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:34:29","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"35","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:30:29","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"36","Apple Shares Arent Looking So Buyable Headed Into iPhone 8 Launch  ","2017-09-14 10:28:26","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"37","Here's a ?? for c295f17 students: Would you pay $1,000+ for an iPhone? Pls reply tweet w/ comments.  ","2017-09-14 10:22:39","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"38","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:22:15","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"39","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 10:17:08","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"40","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 10:12:21","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"41","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 10:08:20","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"42","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 09:57:27","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"43","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 09:56:48","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"44","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 09:56:21","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"45","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 09:55:48","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"46","RT @JonErlichman: Valuations today:

Apple: $832 billion
Nokia: $35 billion

Valuations when iPhone
released in 2007:

Nokia: $110 billion","2017-09-14 09:52:27","TRUE","472","0","0","Apple Iphone","Toronto","Canada",TRUE
"47","The iPhone X overshadowed everything else at the Apple launch event  ","2017-09-14 09:49:34","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"48","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 09:23:10","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"49","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 09:19:19","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"50","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 09:16:35","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"51","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 09:15:26","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"52","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 09:08:36","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"53","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 09:06:13","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"54","Apple increases AppleCare+ costs for Plus iPhones from $129 to $149, and iPhone X to $199 (Jon Fingas/Engadget)

   ","2017-09-14 09:02:31","FALSE","0","0","0","Apple Iphone","Toronto","Canada",FALSE
"55","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 09:02:26","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"56","""Apple announced an iPhone 8 and iPhone X  here are the most important differences  ","2017-09-14 09:02:12","FALSE","0","0","1","Apple Iphone","Toronto","Canada",FALSE
"57","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 08:56:55","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"58","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 08:48:02","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
"59","RT @chulomang: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 08:45:37","TRUE","3893","0","0","Apple Iphone","Toronto","Canada",TRUE
