"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 11:54:06","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"2","RT @techsqrd: Samsung leak shows the new Galaxy Note 8 in all of its glory - Gear Insider Mobile -  ","2017-09-14 11:51:41","TRUE","1","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"3","Enter to Win a Samsung Galaxy Note 8 + Zizo Wireless Case/Screen Protector!  ","2017-09-14 11:22:36","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"4","RT @Androidheadline: Samsung Galaxy Note 8: The Good, The Bad, &amp; The Ugly  ","2017-09-14 11:22:34","TRUE","2","0","-1","Samsung Galaxy","Los Angeles","USA",FALSE
"5","RT @Androidheadline: Samsung Galaxy Note 8: The Good, The Bad, &amp; The Ugly  ","2017-09-14 11:18:12","TRUE","2","0","-1","Samsung Galaxy","Los Angeles","USA",TRUE
"6","Samsung Galaxy Note 8: The Good, The Bad, &amp; The Ugly  ","2017-09-14 11:15:47","FALSE","2","6","-1","Samsung Galaxy","Los Angeles","USA",FALSE
"7","RT @jkbjensen: Nice review @supersaf! iPhone X vs Samsung Galaxy Note 8  ","2017-09-14 11:14:59","TRUE","1","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"8","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 11:03:47","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"9","Samsung leak shows the new Galaxy Note 8 in all of its glory - Gear Insider Mobile -  ","2017-09-14 10:52:40","FALSE","1","1","0","Samsung Galaxy","Los Angeles","USA",FALSE
"10","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:19","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"11","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:18","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"12","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:17","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"13","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:17","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"14","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:17","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"15","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:17","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"16","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:16","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"17","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:10:15","TRUE","9","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"18","Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 10:08:05","FALSE","9","1","0","Samsung Galaxy","Los Angeles","USA",FALSE
"19","By code W8H68CPE-Wimaha 3D Curved Tempered Glass Screen Protector Full Screen Coverage for Samsung Galaxy Note 8  ","2017-09-14 10:02:27","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"20","By code GENGRPOE-Wimaha 3D Curved Tempered Glass Screen Protector Full Screen Coverage for Samsung Galaxy Note 8  ","2017-09-14 10:02:00","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"21","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 09:46:23","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"22","Ive entered to win the new Samsung Galaxy Note 8 from @LumionUSA and @AndroidCentral.  ","2017-09-14 09:34:16","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"23","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:27:14","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"24","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:27:14","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"25","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:20","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"26","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:20","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"27","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:18","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"28","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:17","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"29","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:16","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"30","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:15","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"31","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:15","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"32","RT @johnspatricc: Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:18:14","TRUE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"33","Get a rugged case for your new Galaxy Note 8, Galaxy S8, LG V30, and more for under $5 [DEAL] | Samsung Galaxy S8  ","2017-09-14 09:15:18","FALSE","10","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"34","Samsung Galaxy White conquers, secures League of Legends 2014 Championship in Seoul - Neoseeker  ","2017-09-14 09:02:25","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"35","RT @Androidheadline: Samsung Galaxy Note 8 Review  Verging On Perfection  ","2017-09-14 08:55:17","TRUE","4","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"36","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 08:50:17","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"37","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 08:47:53","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"38","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 08:45:11","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"39","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 08:44:20","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"40","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 08:41:59","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"41","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 08:37:00","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"42","RT @Androidheadline: Samsung Galaxy Note 8 Review  Verging On Perfection  ","2017-09-14 08:21:40","TRUE","4","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"43","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 07:58:54","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"44","RT @Androidheadline: Samsung Galaxy Note 8 Review  Verging On Perfection  ","2017-09-14 07:53:43","TRUE","4","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"45","RT @Androidheadline: Samsung Galaxy Note 8 Review  Verging On Perfection  ","2017-09-14 07:51:23","TRUE","4","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"46","Nougat update starts hitting Samsung Galaxy A9 Pro  ","2017-09-14 07:45:43","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"47","Samsung Galaxy Note 8 Review  Verging On Perfection  ","2017-09-14 07:42:20","FALSE","4","7","1","Samsung Galaxy","Los Angeles","USA",FALSE
"48","RT @Androidheadline: Win A Note8 With @caseology and Android Headlines  ","2017-09-14 07:29:35","TRUE","1706","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"49","RT @Androidheadline: Samsung Galaxy Note 8: The Good, The Bad, &amp; The Ugly  ","2017-09-14 07:17:37","TRUE","3","0","-1","Samsung Galaxy","Los Angeles","USA",TRUE
