"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Samsung Galaxy Note 8 Unboxing and First Look  ","2017-09-14 11:32:19","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"2","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 11:20:59","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"3","Samsung Galaxy Note 8 International Giveaway!  ","2017-09-14 10:56:54","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"4","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 10:18:16","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"5","My 1st reaction - we've been here b4. But phones are in flip cases anyway + all the screen space. I'm in!  ","2017-09-14 09:31:48","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"6","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 09:12:32","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"7","Samsung Galaxy Note 8 Wallet Case Genuine Leather Card Slots Kickstand Brown  ","2017-09-14 08:10:07","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"8","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 08:05:49","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"9","Samsung pushes camera update ahead of Galaxy Note8 release  ","2017-09-14 07:46:46","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"10","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 07:43:17","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"11","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 07:01:00","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"12","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 06:56:00","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"13","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 05:50:41","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"14","@UnboxTherapy Using SAMSUNG Galaxy S7. Would to like to try an iPhone to what it's all about...
Sweet  for the SAMSUNG Galaxy S8+ though.","2017-09-14 05:39:02","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"15","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 05:09:05","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"16","RT @EsaFung: What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 04:54:23","TRUE","10","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"17","What do you call security for the Samsung store?

GUARDIANS OF THE GALAXY LMAOOOO","2017-09-14 04:49:30","FALSE","10","36","0","Samsung Galaxy","Toronto","Canada",FALSE
"18","RT @ChrisCDesign: @Zip_kelvin @a_a_ron_01 @UnboxTherapy I'd cop the Samsung Galaxy SEX","2017-09-14 04:32:55","TRUE","4","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"19","RT @ChrisCDesign: @Zip_kelvin @a_a_ron_01 @UnboxTherapy I'd cop the Samsung Galaxy SEX","2017-09-14 04:16:35","TRUE","4","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"20","Samsung Galaxy Note 8 International Giveaway!  ","2017-09-14 04:06:56","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"21","I liked a @YouTube video  ","2017-09-14 03:35:28","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"22","RT @ChrisCDesign: @Zip_kelvin @a_a_ron_01 @UnboxTherapy I'd cop the Samsung Galaxy SEX","2017-09-14 03:30:15","TRUE","4","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"23","Win A Note8 With @caseology and Android Headlines  @androidheadline google Samsung GalaxyNote8 caseology  ","2017-09-14 03:27:11","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"24","RT @ChrisCDesign: @Zip_kelvin @a_a_ron_01 @UnboxTherapy I'd cop the Samsung Galaxy SEX","2017-09-14 03:17:39","TRUE","4","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"25","@Zip_kelvin @a_a_ron_01 @UnboxTherapy I'd cop the Samsung Galaxy SEX","2017-09-14 03:09:53","FALSE","4","63","0","Samsung Galaxy","Toronto","Canada",FALSE
"26","@UnboxTherapy Samsung Galaxy S8 and I wouldn't want to go to a different one unless they S9 is somehow better","2017-09-14 02:32:23","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"27","Introducing the Samsung Galaxy Note 8  ","2017-09-14 02:24:00","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"28","For the record no I will not get the Samsung Galaxy Note 8. I am still using the Note 4 and it's still going strong, lol.","2017-09-14 01:16:53","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"29","Wow the iPhone X is basically the ugly version of the Samsung Galaxy Note 8. Yeah.","2017-09-14 01:14:45","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"30","@Casetify Do you offer Marble cases for the Samsung Galaxy S8+?","2017-09-14 00:54:20","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"31","Ive entered to win the new Samsung Galaxy Note 8 from @LumionUSA and @AndroidCentral.  ","2017-09-14 00:26:47","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"32","RT @TheFourthPeriod: Fun time checking out the new Samsung Galaxy Note8. Pretty cool stuff  ","2017-09-14 00:23:07","TRUE","1","0","3","Samsung Galaxy","Toronto","Canada",FALSE
"33","Fun time checking out the new Samsung Galaxy Note8. Pretty cool stuff  ","2017-09-14 00:22:25","FALSE","1","4","3","Samsung Galaxy","Toronto","Canada",FALSE
"34","Ive entered to win the new Samsung Galaxy Note 8 from @LumionUSA and @AndroidCentral.  ","2017-09-13 22:54:25","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",TRUE
"35","Taken with Samsung Galaxy S8. Does not need a 1000$ 'X'pensive phone to do that. A good 700$ one would suffice  ","2017-09-13 21:55:58","FALSE","0","3","2","Samsung Galaxy","Toronto","Canada",FALSE
"36","Does anyone else find that Samsung Galaxy Life pop-up in downtown toronto fucking weird? What a bloated marketing campaign. Seems absurd.","2017-09-13 21:39:40","FALSE","0","0","-4","Samsung Galaxy","Toronto","Canada",FALSE
"37","Samsung Galaxy Note 8 International Giveaway!  ","2017-09-13 19:58:25","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"38","Our First Look at the Samsung Galaxy Note 8  ","2017-09-13 19:45:20","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"39","Samsung Galaxy Note 8 International Giveaway!  ","2017-09-13 19:21:04","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"40","Samsung Galaxy Note 8 Case PU Leather Style Shockproof Flexible TPU Slim Blue  ","2017-09-13 19:15:33","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"41","Samsung Galaxy Note 8 Case PU Leather Style Shockproof Flexible TPU Slim Brown  ","2017-09-13 19:15:30","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"42","Samsung Galaxy Note 8 Case Armor Kickstand Air Cushion Technology Slim Blue  ","2017-09-13 19:15:20","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"43","Samsung Galaxy Note 8 Wallet Case Flip Card Slots Magnetic Closure Slim Purple  ","2017-09-13 19:15:17","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"44","Samsung Galaxy Note 8 Case Shockproof Slim Fit Heavy Duty Dual Layer Rugged Pink  ","2017-09-13 19:15:13","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"45","With iPhone X, what does Samsung call its next phones? - CNET  ","2017-09-13 18:50:11","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"46","I think it's hilarious that iPhone X has all the stuff my Samsung Galaxy already has... Behind on the times, much?","2017-09-13 18:29:16","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"47","With iPhone X, what does Samsung call its next phones? - CNET  ","2017-09-13 18:29:14","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"48","I added a video to a @YouTube playlist  ","2017-09-13 18:11:55","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"49","RT @ParentPalace: The Samsung Galaxy Note8. Think of all you could do with a screen like that. Order @bestbuy: ","2017-09-13 17:50:17","TRUE","155","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"50","Samsung Galaxy Note 8 International Giveaway!  ","2017-09-13 17:19:02","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"51","Enter, you can't win without a try.  ","2017-09-13 17:18:59","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"52","@e_gauss @kristy_mfg Or just get a Samsung Galaxy","2017-09-13 16:56:57","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"53","Love my @SamsungCanada Galaxy Note 4 so much, can't wait to get the new Note 8 soon! So glad it pairs up so well with my 40"" Samsung TV! &lt;3","2017-09-13 16:44:15","FALSE","0","2","3","Samsung Galaxy","Toronto","Canada",FALSE
"54","@Jeremy_Learns I'm all Apple, all the time, but I have to admit I like the Samsung Galaxy 8 screen better than the iPhone X.","2017-09-13 15:47:06","FALSE","0","0","2","Samsung Galaxy","Toronto","Canada",FALSE
"55","@TabathaSouthey i prefer my Samsung Galaxy 8","2017-09-13 15:29:14","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"56","I liked a @YouTube video  ","2017-09-13 15:01:16","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",TRUE
"57","@CNN They named it X for one reason only .. because at this pace, Samsung's Galaxy X would have hit market before A  ","2017-09-13 14:19:07","FALSE","0","2","0","Samsung Galaxy","Toronto","Canada",FALSE
"58","How the iPhone X specs compare to the best Android phones  ","2017-09-13 13:42:53","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"59","@Phandroid I'll take the Samsung Galaxy Note 8 body with iOS11 in it. Done. Phone of the century.","2017-09-13 13:25:32","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"60","@piercemr Honestly, I think Samsung did a better job of solving for this than Apple - just do edge-to-edge on the s  ","2017-09-13 13:21:20","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"61","Wireless charging? Innovative? Come on guys... we've been doing that for years!!! Android Samsung  ","2017-09-13 13:09:18","FALSE","0","1","1","Samsung Galaxy","Toronto","Canada",FALSE
"62","Like I don't like Samsung but the Galaxy S8 looks way cleaner than the iPhone X, so does the Essential Phone.","2017-09-13 12:55:04","FALSE","0","0","3","Samsung Galaxy","Toronto","Canada",FALSE
"63","Apple iPhone X vs. iPhone 8 Plus vs. Samsung Galaxy Note 8: Specs Compared  ","2017-09-13 12:15:08","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"64","@RockySingh I switched from the iPhone to the Samsung galaxy s8 last week and I love it so I'm sure you'll love the note!!","2017-09-13 12:14:22","FALSE","0","2","2","Samsung Galaxy","Toronto","Canada",FALSE
"65","I'm saying it right now. The iPhone X will be a valiant competitor to the Samsung Galaxy S7.","2017-09-13 11:28:07","FALSE","0","2","2","Samsung Galaxy","Toronto","Canada",FALSE
"66","Samsung is hoping to release a bendable Galaxy Note next year  ","2017-09-13 11:11:29","FALSE","0","1","0","Samsung Galaxy","Toronto","Canada",FALSE
"67","Win A Note8 With @caseology and Android Headlines  @androidheadline google Samsung GalaxyNote8 caseology  ","2017-09-13 10:41:02","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",TRUE
"68","RT @francyglow: Celebrity Packed Samsung Galaxy S7 Ad Takes Aim at AppleWatch, Apple Pay AppleWatch  ","2017-09-13 10:18:21","TRUE","2","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"69","RT @francyglow: Celebrity Packed Samsung Galaxy S7 Ad Takes Aim at AppleWatch, Apple Pay AppleWatch  ","2017-09-13 10:18:15","TRUE","2","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"70","Celebrity Packed Samsung Galaxy S7 Ad Takes Aim at AppleWatch, Apple Pay AppleWatch  ","2017-09-13 10:15:18","FALSE","2","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"71","Samsung Galaxy Note 8 International Giveaway!  ","2017-09-13 09:55:57","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"72","RT @ParhamMofidi: I feel like people are not noticing the fact that the iPhone X is literally the Samsung Galaxy S8 from 9 months ago.","2017-09-13 09:27:22","TRUE","1","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"73","Samsung Galaxy Note 8 Shockproof Flexible Inner Protection Hard Bumper Kickstand  ","2017-09-13 08:06:06","FALSE","0","1","1","Samsung Galaxy","Toronto","Canada",FALSE
"74","TechVideo Samsung planning bendable Galaxy Note for next year  ","2017-09-13 06:16:19","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"75","Samsung Galaxy 7 already had those features   ","2017-09-13 05:47:27","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"76","I just said hello to the future, my piece of shit Samsung galaxy S5 bc I'm not blowing a thousand dollars on a new phone","2017-09-13 05:46:52","FALSE","0","4","-1","Samsung Galaxy","Toronto","Canada",FALSE
"77","Samsung Galaxy Note 8 International Giveaway!  ","2017-09-13 05:13:51","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",TRUE
"78","... via smartphones samsung smartphone verizon wireless eBayCA galaxy G920 32GB android  ","2017-09-13 05:08:01","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"79","Ive entered to win the new Samsung Galaxy Note 8 from @LumionUSA and @AndroidCentral.  ","2017-09-13 04:24:43","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",TRUE
"80","I liked a @YouTube video  ","2017-09-13 04:02:56","FALSE","0","1","1","Samsung Galaxy","Toronto","Canada",TRUE
"81","@deanna_havas Dont you Americans get Free phones subsidized by your plans? Also samsung galaxy isn't bad at all.","2017-09-13 03:53:16","FALSE","0","1","1","Samsung Galaxy","Toronto","Canada",FALSE
"82","I feel like people are not noticing the fact that the iPhone X is literally the Samsung Galaxy S8 from 9 months ago.","2017-09-13 03:23:14","FALSE","1","2","1","Samsung Galaxy","Toronto","Canada",FALSE
"83","RT @dbrand: You're disgusting. We can help.

 ","2017-09-13 03:06:47","TRUE","140","0","-1","Samsung Galaxy","Toronto","Canada",FALSE
"84","@JohnCena @ThatAsianDood Buy a Samsung galaxy 8 lol","2017-09-13 03:04:33","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"85","@CTVKitchener @KristaSimpson I mean the phone I'm getting, which I find better then this iPhone, is $1400. A Samsung Galaxy Note 8.","2017-09-13 03:00:47","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
"86","Win A Note8 With @caseology and Android Headlines  @androidheadline google Samsung GalaxyNote8 caseology  ","2017-09-13 02:59:04","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",TRUE
"87","Ive entered to win the new Samsung Galaxy Note 8 from @LumionUSA and @AndroidCentral.  ","2017-09-13 02:52:07","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",TRUE
"88","How the specs of the iPhone 8, 8 Plus, and X compare to iPhone 7, iPhone 7 Plus, Samsung Galaxy devices, Essential  ","2017-09-13 02:45:31","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"89","@nicserk Samsung Galaxy S7 32GB Retail Price: $649.99 USD

iPhone SE 32GB Retail Price: $469.99 USD","2017-09-13 02:23:54","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"90","20170912: AP: Foldable Galaxy Note smartphone on the way, Samsung says  ","2017-09-13 01:40:47","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"91","This is pretty dang cool.  ","2017-09-13 01:29:14","FALSE","0","0","2","Samsung Galaxy","Toronto","Canada",FALSE
"92","Soooo its a samsung galaxy s8?","2017-09-13 01:25:54","FALSE","0","0","0","Samsung Galaxy","Toronto","Canada",FALSE
"93","RT @bossdaddyjay_: Correct RT @GetFcknLowd: Sooo... is it just me or is iPhone x just a Samsung Galaxy s8+ with a better camera","2017-09-13 01:17:39","TRUE","2","0","2","Samsung Galaxy","Toronto","Canada",FALSE
"94","RT @bossdaddyjay_: Correct RT @GetFcknLowd: Sooo... is it just me or is iPhone x just a Samsung Galaxy s8+ with a better camera","2017-09-13 01:14:45","TRUE","2","0","2","Samsung Galaxy","Toronto","Canada",TRUE
"95","How the iPhone X compares to the best Android phones  ","2017-09-13 01:10:02","FALSE","0","0","1","Samsung Galaxy","Toronto","Canada",FALSE
